2023-08-06 14:27:59,381 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Configure stats pid to 343717
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Loading settings from /home/dl/.config/wandb/settings
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Loading settings from /media/dl/hutodama/MAE/src/wandb/settings
2023-08-06 14:27:59,382 WARNING MainThread:343717 [wandb_setup.py:_flush():76] Unknown environment variable: WANDB_SERVICE
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/media/dl/hutodama/MAE/src/main.py'}
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_init.py:_log_setup():507] Logging user logs to wandb/wandb/run-20230806_142759-2wl2kkfz/logs/debug.log
2023-08-06 14:27:59,382 INFO    MainThread:343717 [wandb_init.py:_log_setup():508] Logging internal logs to wandb/wandb/run-20230806_142759-2wl2kkfz/logs/debug-internal.log
2023-08-06 14:27:59,383 INFO    MainThread:343717 [wandb_init.py:init():547] calling init triggers
2023-08-06 14:27:59,383 INFO    MainThread:343717 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-06 14:27:59,383 INFO    MainThread:343717 [wandb_init.py:init():596] starting backend
2023-08-06 14:27:59,383 INFO    MainThread:343717 [wandb_init.py:init():600] setting up manager
2023-08-06 14:27:59,386 INFO    MainThread:343717 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-06 14:27:59,389 INFO    MainThread:343717 [wandb_init.py:init():606] backend started and connected
2023-08-06 14:27:59,396 INFO    MainThread:343717 [wandb_init.py:init():697] updated telemetry
2023-08-06 14:27:59,399 INFO    MainThread:343717 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-06 14:27:59,925 INFO    MainThread:343717 [wandb_run.py:_on_init():2180] communicating current version
2023-08-06 14:27:59,996 INFO    MainThread:343717 [wandb_run.py:_on_init():2189] got version response 
2023-08-06 14:27:59,996 INFO    MainThread:343717 [wandb_init.py:init():781] starting run threads in backend
2023-08-06 14:28:00,078 INFO    MainThread:343717 [wandb_run.py:_console_start():2159] atexit reg
2023-08-06 14:28:00,079 INFO    MainThread:343717 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-06 14:28:00,079 INFO    MainThread:343717 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-06 14:28:00,079 INFO    MainThread:343717 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-06 14:28:00,080 INFO    MainThread:343717 [wandb_init.py:init():822] run started, returning control to user process
